ID	REGION	LOCALIDAD	PROVINCIA	GENERO	EDAD	GRUPOS_EDAD	NIV_SOCIOE	NSE_3	TAMANIO	EXPANSOR	PONDERADOR	MUSICA1	MUSICA2	MUSICA2-1	MUSICA3	MUSICA4	MUSICA5_1	MUSICA5_2	MUSICA5_3	MUSICA5_4	MUSICA5_5	MUSICA5_6	MUSICA5_7	MUSICA5_8	MUSICA5_9	MUSICA5_10	MUSICA5_11	MUSICA5_12	MUSICA5_13	MUSICA5_14	MUSICA5_15	MUSICA5_16	MUSICA5_17	MUSICA5_18	MUSICA5_19	MUSICA5-1	MUSICA6-1	MUSICA6-2	MUSICA7_1	MUSICA7_2	MUSICA7_3	MUSICA7_4	MUSICA7_5	MUSICA7_6	MUSICA7_7	MUSICA7_8	MUSICA7_9	MUSICA8_1	MUSICA8_2	MUSICA8_3	MUSICA8_4	MUSICA8_5	MUSICA8_6	MUSICA8_7	MUSICA8_8	MUSICA8_9	MUSICA8_10	MUSICA8_11	MUSICA8_12	MUSICA8_13	MUSICA9	MUSICA10	MUSICA10-1	MUSICA11	MUSICA12	MUSICA13	MUSICA14	MUSICA14-1
1	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	45	30 a 49 anios	ABC1	ABC1	Mas de 400mil	3767	0.430	SI			Algunas veces a la semana	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			SI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
2	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	35	30 a 49 anios	ABC1	ABC1	Mas de 400mil	2436	0.280	SI			Todos o casi todos los días	Todos o casi todos los días	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	SI			Todos o casi todos los meses	15	13	7000	
3	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	37	30 a 49 anios	ABC1	ABC1	Mas de 400mil	2959	0.340	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
4	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	29	18 a 29 anios	ABC1	ABC1	Mas de 400mil	3903	0.450	SI			Todos o casi todos los días	Todos o casi todos los días	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	SI			Algunas veces al anio o menos	10	5	9	
5	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	56	50 a 64 anios	ABC1	ABC1	Mas de 400mil	2401	0.280	SI			Algunas veces a la semana	Algunas veces al mes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	NO	Problemas de salud			$null$	$null$	$null$	
6	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	26	18 a 29 anios	ABC1	ABC1	Mas de 400mil	3225	0.370	SI			Todos o casi todos los días	Todos o casi todos los días	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1	mp 3			1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
7	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	48	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1655	0.190	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
8	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	37	30 a 49 anios	ABC1	ABC1	Mas de 400mil	5743	0.660	NO	Falta de tiempo				$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$		$null$				$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
9	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	60	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1950	0.220	SI			Algunas veces a la semana	Nunca	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$		$null$				0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NO	Falta de tiempo			$null$	$null$	$null$	
10	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	35	30 a 49 anios	ABC1	ABC1	Mas de 400mil	8586	0.980	SI			Algunas veces a la semana	Algunas veces a la semana	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		$null$		SI	NO	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	NO	Tiene que cuidar hijos/ familiares			$null$	$null$	$null$	
